SMILES,MOLREGNO,Sol_uM,Acidic_pKa,Basic_pKa,Charge_State
CN1CCN(CC1)c2nc(CCOc3ccc(C[C@H](Nc4ccccc4C(=O)c5ccccc5)C(=O)O)cc3)c(C)s2,245608,97.69999999999999,3.52,7.26,acidic
CC(C)n1nc(c2ccc(C)cc2)c3c(N)ncnc13,1151697,97.69999999999999,19.66,3.74,neutral
CC(=O)Nc1nc(cs1)c2cccs2,757135,99.99999999999999,10.79,-1.4,neutral
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,453107,99.99999999999999,12.76,5.74,neutral
Cc1sc2ncnc(SCC(=O)N3CCCC3)c2c1C,885329,99.99999999999999,18.79,0.62,neutral
CCN(C1CCN(CCC(c2ccccc2)c3ccc(NC(=O)C(C)(C)C)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,330765,99.99999999999999,14.06,9.32,basic
CN1CCN(CC1)c2nc3ccccc3cc2Cn4nc(c5ccc6nc(N)sc6c5)c7c(N)ncnc47,684958,99.99999999999999,16.35,7.57,basic
C(Nc1ncnc2ccccc12)c3ccccc3,169526,99.99999999999999,18.63,4.83,neutral
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N(C)C)n2,490056,99.99999999999999,14.6,6.24,neutral
COCC[C@H](Oc1ncnc2c1cnn2c3ccccc3Cl)C(=O)Nc4ccc(C)cn4,1446428,99.99999999999999,11.5,4.42,neutral
CN(C)C(=O)CN1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1,417876,99.99999999999999,12.76,7.58,basic
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC4CCN(C)CC4,358926,99.99999999999999,16.1,8.37,basic
CN(C)C(=O)c1cc(c2nc(cc(n2)C3(CC3)S(=O)(=O)C)N4CCOCC4)c5cc[nH]c5c1,1519907,99.99999999999999,14.65,2.51,neutral
COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc23)c1C,495617,102.30000000000001,16.28,7.18,neutral
Nc1n[nH]c2ncc3CCCCCCc3c12,1268206,102.30000000000001,14.94,3.6,neutral
OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cc(CC(=O)Nc5cccc(F)c5)[nH]n4)ncnc3c2,363085,102.30000000000001,12.53,9.12,basic
O=C(Nc1oc(nn1)C(=O)Nc2ccc(cc2)N3CCOCC3)c4ccccc4,1346284,104.70000000000006,12.44,0.95,neutral
C[C@@H](Cc1ccccc1)Oc2cc(OC3CCOCC3)cc(c2)C(=O)Nc4ccc(cn4)C(=O)O,1146822,104.70000000000006,3.74,0.85,acidic
C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccc6N=CNC(=O)c6c5,1525992,104.70000000000006,8.5,2.0,neutral
OC(=O)[C@H](Cc1ccc(OCCc2ccc3CCCNc3n2)cc1)NC(=O)c4c(Cl)cccc4Cl,1343222,107.2,3.39,7.18,acidic
Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(OC[C@@H](O)CO)c3,340673,107.2,13.62,2.19,neutral
O[C@@]1(CN2CCC1CC2)C#Cc3ccc(Oc4ccc(cc4)C(=O)NCc5ccncc5)cc3,1159345,107.2,12.56,8.09,basic
CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,1331877,107.2,14.86,8.24,basic
CCc1cccc(CC)c1NC(=O)N2Cc3[nH]nc(NC(=O)c4ccc(cc4)N5CCN(C)CC5)c3C2,321594,107.2,12.16,7.74,basic
Cc1nc(CSc2ccc(Cl)cc2)cc(n1)N3CCOCC3,737048,107.2,,5.47,neutral
Oc1oc(c2ccccc2)c(n1)c3ccccc3,909730,107.2,8.94,,neutral
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(F)cc3)n2,490118,107.2,13.3,6.0,neutral
CC(=O)NC1CCN(C1)C(=O)CN2CCN(CCc3c([nH]c4sc(cc34)C(C)(C)C(=O)N5C6CCC5CC6)c7cc(C)cc(C)c7)CC2,417884,107.2,12.76,7.58,basic
C[C@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1519925,109.60000000000001,13.18,8.33,basic
Clc1ccc(\C=C\2/SC(=O)NC2=O)cc1,494987,109.60000000000001,8.05,-6.69,neutral
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCCC6,424654,109.60000000000001,14.75,4.88,neutral
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)C34CCC(CC(=O)O)(CC3)CC4,1439166,112.19999999999996,4.74,0.87,acidic
NC(=O)c1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5,1344542,112.19999999999996,13.57,9.53,basic
Nc1ccccc1NC(=O)c2ccc(cc2)C3CCN(CCC(=O)Nc4ccccc4F)CC3,427771,112.19999999999996,11.94,8.93,basic
CC(C)Oc1cc(O[C@H](C)c2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,346509,112.19999999999996,3.74,0.85,acidic
CCCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,363084,112.19999999999996,12.53,9.53,basic
Cc1cc(C)cc(c1)c2[nH]c3sc(cc3c2CCN4CCC(CNC(=O)N5CCOCC5)CC4)C(C)(C)C(=O)N6C7CCC6CC7,417903,112.19999999999996,12.76,9.27,basic
Cc1c(Cc2ccc3ccccc3n2)c4cc(F)ccc4n1CC(=O)O,558931,112.19999999999996,4.45,3.84,acidic
CC[C@@H](C)NC(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,1275148,112.19999999999996,12.56,8.09,basic
O=C1C=C(Nc2ccccc12)c3occc3,1348873,114.80000000000001,8.65,-2.02,neutral
Clc1cccc(Cl)c1c2nnc3cccc(Cl)n23,857015,114.80000000000001,,1.36,neutral
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4,458543,117.5,4.71,3.85,acidic
O[C@@H](CNCCc1cccc(CNCCc2ccccc2Cl)c1)c3ccc(O)c4NC(=O)Sc34,1276058,117.5,6.97,9.81,zwitterionic
